time,src_ip,dst_ip,src_port,dst_port,protocol,length
2025-09-18 11:31:26.161021,192.168.1.130,103.235.46.102,56842,80,TCP,54
2025-09-18 11:31:26.970639,192.168.1.130,103.235.46.115,56826,80,TCP,54
2025-09-18 11:31:27.671003,192.168.1.130,103.235.46.102,56842,80,TCP,54
2025-09-18 11:31:28.386138,192.168.1.130,103.235.46.115,56798,80,TCP,54
2025-09-18 11:31:30.661188,,,,,TLS,75
2025-09-18 11:31:30.664382,,,443,56743,TCP,74
2025-09-18 11:31:30.664382,,,443,56743,TCP,105
2025-09-18 11:31:30.664382,,,443,56743,TCP,74
2025-09-18 11:31:30.664513,,,56743,443,TCP,74
2025-09-18 11:31:30.664681,,,56743,443,TCP,74
2025-09-18 11:31:30.671380,,,443,56757,TCP,86
2025-09-18 11:31:30.686902,192.168.1.130,103.235.46.102,56842,80,TCP,54
2025-09-18 11:31:31.722425,,,,,ARP,42
2025-09-18 11:31:31.729920,,,,,ARP,42
2025-09-18 11:31:31.806344,,,,,DNS,99
2025-09-18 11:31:31.807640,,,,,DNS,99
2025-09-18 11:31:31.808708,,,,,DNS,99
2025-09-18 11:31:31.819281,,,,,DNS,321
2025-09-18 11:31:31.820026,,,,,DNS,309
2025-09-18 11:31:31.820370,,,,,DNS,365
2025-09-18 11:31:31.824286,,,56845,443,TCP,86
2025-09-18 11:31:31.833674,,,443,56845,TCP,86
2025-09-18 11:31:31.833911,,,56845,443,TCP,74
2025-09-18 11:31:31.854292,,,,,TLS,1474
2025-09-18 11:31:31.854292,,,,,TLS,770
2025-09-18 11:31:31.864081,,,,,TLS,75
2025-09-18 11:31:31.869650,,,443,56845,TCP,74
2025-09-18 11:31:31.869650,,,,,TLS,173
2025-09-18 11:31:31.870921,,,,,TLS,984
2025-09-18 11:31:31.880434,,,,,TLS,1506
2025-09-18 11:31:31.880434,,,443,56845,TCP,1506
2025-09-18 11:31:31.880434,,,443,56845,TCP,1306
2025-09-18 11:31:31.880601,,,56845,443,TCP,74
2025-09-18 11:31:31.880817,,,443,56845,TCP,1506
2025-09-18 11:31:31.880870,,,56845,443,TCP,74
2025-09-18 11:31:31.881004,,,,,TLS,1506
2025-09-18 11:31:31.881004,,,,,TLS,110
2025-09-18 11:31:31.881062,,,56845,443,TCP,74
2025-09-18 11:31:31.890835,,,,,TLS,148
2025-09-18 11:31:31.892241,,,,,TLS,166
2025-09-18 11:31:31.893293,,,,,TLS,347
2025-09-18 11:31:31.900351,,,,,TLS,361
2025-09-18 11:31:31.900351,,,,,TLS,361
2025-09-18 11:31:31.900351,,,,,TLS,136
2025-09-18 11:31:31.900486,,,56845,443,TCP,74
2025-09-18 11:31:31.901419,,,,,TLS,105
2025-09-18 11:31:31.914416,,,443,56845,TCP,74
2025-09-18 11:31:31.914416,,,,,TLS,105
2025-09-18 11:31:31.914416,,,,,TLS,1506
2025-09-18 11:31:31.914416,,,443,56845,TCP,1506
2025-09-18 11:31:31.914416,,,443,56845,TCP,1506
2025-09-18 11:31:31.914416,,,443,56845,TCP,1506
2025-09-18 11:31:31.914416,,,443,56845,TCP,1506
2025-09-18 11:31:31.914416,,,443,56845,TCP,1506
2025-09-18 11:31:31.914416,,,443,56845,TCP,1506
2025-09-18 11:31:31.914416,,,443,56845,TCP,1506
2025-09-18 11:31:31.914416,,,443,56845,TCP,1506
2025-09-18 11:31:31.914416,,,443,56845,TCP,1506
2025-09-18 11:31:31.914816,,,56845,443,TCP,74
2025-09-18 11:31:31.918706,,,443,56845,TCP,1506
2025-09-18 11:31:31.918706,,,,,TLS,1506
2025-09-18 11:31:31.918706,,,443,56845,TCP,1506
2025-09-18 11:31:31.918706,,,443,56845,TCP,1506
2025-09-18 11:31:31.918706,,,443,56845,TCP,1506
2025-09-18 11:31:31.918706,,,443,56845,TCP,1506
2025-09-18 11:31:31.918706,,,443,56845,TCP,1506
2025-09-18 11:31:31.918706,,,443,56845,TCP,1506
2025-09-18 11:31:31.918919,,,56845,443,TCP,74
2025-09-18 11:31:31.919153,,,443,56845,TCP,1506
2025-09-18 11:31:31.919221,,,56845,443,TCP,74
2025-09-18 11:31:31.919354,,,443,55922,TCP,86
2025-09-18 11:31:31.935115,,,443,56845,TCP,1506
2025-09-18 11:31:31.945473,,,443,56845,TCP,1506
2025-09-18 11:31:31.945473,,,443,56845,TCP,1506
2025-09-18 11:31:31.945473,,,,,TLS,1506
2025-09-18 11:31:31.945679,,,56845,443,TCP,74
2025-09-18 11:31:31.954873,,,,,TLS,1506
2025-09-18 11:31:31.954873,,,443,56845,TCP,1506
2025-09-18 11:31:31.954873,,,443,56845,TCP,1506
2025-09-18 11:31:31.954873,,,443,56845,TCP,1506
2025-09-18 11:31:31.954873,,,443,56845,TCP,1506
2025-09-18 11:31:31.954873,,,443,56845,TCP,1506
2025-09-18 11:31:31.954873,,,443,56845,TCP,1506
2025-09-18 11:31:31.954873,,,443,56845,TCP,1506
2025-09-18 11:31:31.954873,,,443,56845,TCP,1506
2025-09-18 11:31:31.954873,,,443,56845,TCP,1506
2025-09-18 11:31:31.954873,,,443,56845,TCP,1506
2025-09-18 11:31:31.954873,,,,,TLS,1506
2025-09-18 11:31:31.955322,,,56845,443,TCP,74
2025-09-18 11:31:31.956344,,,443,56845,TCP,1506
2025-09-18 11:31:31.956344,,,443,56845,TCP,1506
2025-09-18 11:31:31.956344,,,443,56845,TCP,1506
2025-09-18 11:31:31.956344,,,443,56845,TCP,1506
2025-09-18 11:31:31.956344,,,443,56845,TCP,1506
2025-09-18 11:31:31.956344,,,443,56845,TCP,1506
2025-09-18 11:31:31.956344,,,,,TLS,1178
2025-09-18 11:31:31.956512,,,56845,443,TCP,74
2025-09-18 11:31:32.092889,,,443,56835,TCP,86
2025-09-18 11:31:33.482510,192.168.1.130,103.235.46.115,56773,80,TCP,54
2025-09-18 11:31:34.291063,,,,,TLS,105
2025-09-18 11:31:34.291190,,,56822,443,TCP,74
2025-09-18 11:31:34.292962,,,443,56822,TCP,74
2025-09-18 11:31:34.292962,,,443,56822,TCP,74
2025-09-18 11:31:34.293109,,,56822,443,TCP,74
2025-09-18 11:31:35.315381,198.144.121.93,192.168.1.130,,,TLS,93
2025-09-18 11:31:35.371606,192.168.1.130,198.144.121.93,56804,443,TCP,54
2025-09-18 11:31:35.373995,198.144.121.93,192.168.1.130,,,TLS,78
2025-09-18 11:31:35.373995,198.144.121.93,192.168.1.130,,,TLS,93
2025-09-18 11:31:35.373995,198.144.121.93,192.168.1.130,,,TLS,78
2025-09-18 11:31:35.374145,192.168.1.130,198.144.121.93,56804,443,TCP,54
2025-09-18 11:31:35.374260,192.168.1.130,198.144.121.93,56805,443,TCP,54
2025-09-18 11:31:35.374428,198.144.121.93,192.168.1.130,443,56804,TCP,78
2025-09-18 11:31:35.374469,192.168.1.130,198.144.121.93,56804,443,TCP,66
2025-09-18 11:31:35.379455,198.144.121.93,192.168.1.130,443,56805,TCP,78
2025-09-18 11:31:35.379539,192.168.1.130,198.144.121.93,56805,443,TCP,66
2025-09-18 11:31:35.394536,192.168.1.130,103.235.46.102,56846,80,TCP,66
2025-09-18 11:31:35.666236,103.235.46.102,192.168.1.130,80,56846,TCP,66
2025-09-18 11:31:35.666312,192.168.1.130,103.235.46.102,56846,80,TCP,54
2025-09-18 11:31:35.666534,192.168.1.130,103.235.46.102,56846,80,TCP,54
2025-09-18 11:31:35.716628,,,,,TLS,98
2025-09-18 11:31:35.716716,,,443,56838,TCP,74
2025-09-18 11:31:35.716739,,,56838,443,TCP,74
2025-09-18 11:31:36.284197,,,,,TLS,75
2025-09-18 11:31:36.293297,,,443,56732,TCP,86
2025-09-18 11:31:36.470882,192.168.1.130,103.235.46.102,56846,80,TCP,54
2025-09-18 11:31:36.645635,,,,,TLS,105
2025-09-18 11:31:36.645785,,,56834,443,TCP,74
2025-09-18 11:31:36.645998,,,443,56834,TCP,74
2025-09-18 11:31:36.646049,,,56834,443,TCP,74
2025-09-18 11:31:36.723222,192.168.1.130,103.235.46.102,56842,80,TCP,54
2025-09-18 11:31:36.873220,2.17.211.201,192.168.1.130,,,TLS,85
2025-09-18 11:31:36.873220,2.17.211.201,192.168.1.130,443,56840,TCP,54
2025-09-18 11:31:36.873379,192.168.1.130,2.17.211.201,56840,443,TCP,54
2025-09-18 11:31:37.355789,,,,,TLS,75
2025-09-18 11:31:37.368235,,,443,56777,TCP,86
2025-09-18 11:31:37.416861,,,,,TLS,75
2025-09-18 11:31:37.435495,,,443,56778,TCP,86
2025-09-18 11:31:37.788725,,,,,TLS,75
2025-09-18 11:31:37.798555,,,443,56779,TCP,86
2025-09-18 11:31:38.065258,192.168.1.130,103.235.46.102,56846,80,TCP,54
2025-09-18 11:31:38.591482,,,,,TLS,75
2025-09-18 11:31:38.606070,,,443,56781,TCP,86
2025-09-18 11:31:39.095555,,,,,TLS,75
2025-09-18 11:31:39.112078,,,443,56782,TCP,86
2025-09-18 11:31:39.597991,192.168.1.130,103.235.46.115,56826,80,TCP,54
2025-09-18 11:31:39.626966,,,,,TLS,75
2025-09-18 11:31:39.638937,,,443,56784,TCP,86
2025-09-18 11:31:39.919423,,,,,TLS,75
2025-09-18 11:31:39.931351,,,443,56785,TCP,86
2025-09-18 11:31:41.251117,192.168.1.130,103.235.46.102,56846,80,TCP,54
2025-09-18 11:31:41.723947,,,,,ARP,42
2025-09-18 11:31:41.727416,,,,,ARP,42
2025-09-18 11:31:42.150290,192.168.1.130,103.235.46.115,56770,80,TCP,54
2025-09-18 11:31:42.169878,192.168.1.130,103.235.46.115,56783,80,TCP,54
2025-09-18 11:31:42.528543,,,,,TLS,75
2025-09-18 11:31:42.544467,,,443,56787,TCP,86
2025-09-18 11:31:42.574815,,,,,TLS,75
2025-09-18 11:31:42.575375,,,,,TLS,75
2025-09-18 11:31:42.584074,,,443,56790,TCP,86
2025-09-18 11:31:42.587427,,,443,56789,TCP,86
2025-09-18 11:31:42.599813,,,,,TLS,75
2025-09-18 11:31:42.607687,,,443,56788,TCP,86
2025-09-18 11:31:42.708433,,,,,TLS,75
2025-09-18 11:31:42.708444,,,,,TLS,75
2025-09-18 11:31:42.718896,,,443,56792,TCP,86
2025-09-18 11:31:42.753303,,,443,56759,TCP,86
2025-09-18 11:31:43.262973,,,,,TLS,75
2025-09-18 11:31:43.274902,,,,,TLS,75
2025-09-18 11:31:43.280758,,,443,56794,TCP,86
2025-09-18 11:31:43.301949,,,443,56793,TCP,86
2025-09-18 11:31:43.593692,,,,,TLS,75
2025-09-18 11:31:43.617423,,,443,56791,TCP,86
2025-09-18 11:31:43.737214,,,,,TLS,75
2025-09-18 11:31:43.749080,,,443,56761,TCP,86
2025-09-18 11:31:44.010464,192.168.1.130,143.47.35.80,,,TLS,55
2025-09-18 11:31:44.027526,143.47.35.80,192.168.1.130,443,56796,TCP,66
2025-09-18 11:31:44.365171,192.168.1.130,143.47.35.80,,,TLS,55
2025-09-18 11:31:44.377656,143.47.35.80,192.168.1.130,443,56795,TCP,66
2025-09-18 11:31:45.658116,192.168.1.130,103.235.46.102,56849,80,TCP,66
2025-09-18 11:31:45.919384,103.235.46.102,192.168.1.130,80,56849,TCP,66
2025-09-18 11:31:45.919482,192.168.1.130,103.235.46.102,56849,80,TCP,54
2025-09-18 11:31:45.926093,192.168.1.130,103.235.46.102,56849,80,TCP,54
2025-09-18 11:31:46.697961,192.168.1.130,103.235.46.102,56849,80,TCP,54
2025-09-18 11:31:47.621239,192.168.1.130,103.235.46.102,56846,80,TCP,54
2025-09-18 11:31:48.245886,192.168.1.130,103.235.46.102,56849,80,TCP,54
2025-09-18 11:31:48.476833,,,443,56835,TCP,86
2025-09-18 11:31:48.790702,192.168.1.130,103.235.46.102,56842,80,TCP,54
2025-09-18 11:31:49.958601,,,,,TLS,113
2025-09-18 11:31:49.959390,,,56764,443,TCP,74
2025-09-18 11:31:49.960045,,,,,TLS,98
2025-09-18 11:31:49.960045,,,443,56764,TCP,74
2025-09-18 11:31:49.960045,,,443,56764,TCP,74
2025-09-18 11:31:49.960157,,,56764,443,TCP,74
2025-09-18 11:31:49.972860,,,443,56764,TCP,74
2025-09-18 11:31:49.972860,,,443,56764,TCP,74
2025-09-18 11:31:50.073635,192.168.1.130,20.135.4.173,,,TLS,55
2025-09-18 11:31:50.098147,,,443,56764,TCP,98
2025-09-18 11:31:50.177822,20.135.4.173,192.168.1.130,443,56763,TCP,66
2025-09-18 11:31:50.209546,192.168.1.130,20.82.9.214,,,TLS,55
2025-09-18 11:31:50.251942,20.82.9.214,192.168.1.130,443,56801,TCP,66
2025-09-18 11:31:50.642344,,,443,56764,TCP,98
2025-09-18 11:31:50.781026,,,,,TLS,75
2025-09-18 11:31:50.811142,,,443,56807,TCP,86
2025-09-18 11:31:50.924742,,,,,ARP,42
2025-09-18 11:31:50.924791,,,,,ARP,42
2025-09-18 11:31:51.310784,192.168.1.130,103.235.46.102,56849,80,TCP,54
2025-09-18 11:31:51.492209,192.168.1.130,192.0.77.48,,,TLS,55
2025-09-18 11:31:51.519809,192.0.77.48,192.168.1.130,443,56809,TCP,66
2025-09-18 11:31:51.540426,192.168.1.130,198.144.121.93,,,TLS,55
2025-09-18 11:31:51.582031,198.144.121.93,192.168.1.130,443,56803,TCP,66
2025-09-18 11:31:52.682728,192.168.1.130,103.235.46.115,56798,80,TCP,54
2025-09-18 11:31:53.642628,,,,,ICMPV6,86
2025-09-18 11:31:53.642753,,,,,ICMPV6,86
2025-09-18 11:31:53.778162,,,443,56764,TCP,98
2025-09-18 11:31:54.711366,,,,,TLS,75
2025-09-18 11:31:54.730867,,,443,56808,TCP,86
2025-09-18 11:31:55.928535,192.168.1.130,103.235.46.102,56852,80,TCP,66
2025-09-18 11:31:56.188247,103.235.46.102,192.168.1.130,80,56852,TCP,66
2025-09-18 11:31:56.188322,192.168.1.130,103.235.46.102,56852,80,TCP,54
2025-09-18 11:31:56.205909,192.168.1.130,103.235.46.102,56852,80,TCP,54
2025-09-18 11:31:56.981156,192.168.1.130,103.235.46.102,56852,80,TCP,54
2025-09-18 11:31:57.445237,192.168.1.130,103.235.46.102,56849,80,TCP,54
2025-09-18 11:31:58.151812,,,443,56764,TCP,98
2025-09-18 11:31:58.514709,192.168.1.130,103.235.46.102,56852,80,TCP,54
2025-09-18 11:31:58.980939,143.47.35.80,192.168.1.130,,,TLS,93
2025-09-18 11:31:58.983756,143.47.35.80,192.168.1.130,,,TLS,78
2025-09-18 11:31:58.983859,192.168.1.130,143.47.35.80,56796,443,TCP,54
2025-09-18 11:31:58.984967,143.47.35.80,192.168.1.130,443,56796,TCP,54
2025-09-18 11:31:58.985064,192.168.1.130,143.47.35.80,56796,443,TCP,54
2025-09-18 11:32:00.359382,192.168.1.130,103.235.46.102,56846,80,TCP,54
2025-09-18 11:32:01.563334,192.168.1.130,103.235.46.102,56852,80,TCP,54
2025-09-18 11:32:01.967813,,,,,TLS,75
2025-09-18 11:32:01.975461,,,443,56776,TCP,86
2025-09-18 11:32:04.310574,,,,,TLS,75
2025-09-18 11:32:04.323975,,,443,56701,TCP,86
2025-09-18 11:32:04.352183,143.47.35.80,192.168.1.130,,,TLS,93
2025-09-18 11:32:04.352264,143.47.35.80,192.168.1.130,,,TLS,78
2025-09-18 11:32:04.352285,192.168.1.130,143.47.35.80,56795,443,TCP,54
2025-09-18 11:32:04.352600,143.47.35.80,192.168.1.130,443,56795,TCP,54
2025-09-18 11:32:04.352640,192.168.1.130,143.47.35.80,56795,443,TCP,54
2025-09-18 11:32:04.352652,192.168.1.130,143.47.35.80,56795,443,TCP,54
2025-09-18 11:32:04.364256,143.47.35.80,192.168.1.130,443,56795,TCP,56
2025-09-18 11:32:04.591492,,,,,DNS,94
2025-09-18 11:32:04.592660,,,,,DNS,94
2025-09-18 11:32:04.610851,,,,,DNS,179
2025-09-18 11:32:04.616289,,,,,DNS,126
2025-09-18 11:32:04.628447,,,,,DNS,94
2025-09-18 11:32:04.637153,192.168.1.130,52.42.23.36,56859,443,TCP,66
2025-09-18 11:32:04.637829,,,,,DNS,126
2025-09-18 11:32:04.823245,52.42.23.36,192.168.1.130,443,56859,TCP,66
2025-09-18 11:32:04.823331,192.168.1.130,52.42.23.36,56859,443,TCP,54
2025-09-18 11:32:04.824046,192.168.1.130,52.42.23.36,,,TLS,254
2025-09-18 11:32:04.848781,192.168.1.130,103.235.46.115,56826,80,TCP,54
2025-09-18 11:32:04.951186,,,,,QUIC,1292
2025-09-18 11:32:04.951600,,,,,QUIC,1292
2025-09-18 11:32:04.992132,,,,,QUIC,102
2025-09-18 11:32:04.994235,,,,,QUIC,1292
2025-09-18 11:32:05.009655,52.42.23.36,192.168.1.130,443,56859,TCP,54
2025-09-18 11:32:05.012692,52.42.23.36,192.168.1.130,,,TLS,1506
2025-09-18 11:32:05.014850,52.42.23.36,192.168.1.130,443,56859,TCP,1506
2025-09-18 11:32:05.014944,192.168.1.130,52.42.23.36,56859,443,TCP,54
2025-09-18 11:32:05.016982,52.42.23.36,192.168.1.130,,,TLS,1412
2025-09-18 11:32:05.026680,192.168.1.130,52.42.23.36,,,TLS,180
2025-09-18 11:32:05.037197,,,,,QUIC,1292
2025-09-18 11:32:05.066366,,,,,QUIC,1292
2025-09-18 11:32:05.066957,,,,,QUIC,322
2025-09-18 11:32:05.067750,,,,,QUIC,1292
2025-09-18 11:32:05.068928,,,,,QUIC,1292
2025-09-18 11:32:05.069443,,,,,QUIC,230
2025-09-18 11:32:05.085743,,,,,QUIC,365
2025-09-18 11:32:05.085743,,,,,QUIC,122
2025-09-18 11:32:05.085743,,,,,QUIC,83
2025-09-18 11:32:05.085743,,,,,QUIC,144
2025-09-18 11:32:05.085985,,,,,QUIC,102
2025-09-18 11:32:05.090244,,,,,QUIC,93
2025-09-18 11:32:05.090816,,,,,QUIC,93
2025-09-18 11:32:05.091051,,,,,QUIC,88
2025-09-18 11:32:05.214386,52.42.23.36,192.168.1.130,,,TLS,105
2025-09-18 11:32:05.215913,192.168.1.130,52.42.23.36,,,TLS,254
2025-09-18 11:32:05.406007,52.42.23.36,192.168.1.130,,,TLS,236
2025-09-18 11:32:05.408328,192.168.1.130,52.42.23.36,,,TLS,85
2025-09-18 11:32:05.409550,192.168.1.130,52.42.23.36,56859,443,TCP,54
2025-09-18 11:32:05.596486,52.42.23.36,192.168.1.130,443,56859,TCP,54
2025-09-18 11:32:05.596486,52.42.23.36,192.168.1.130,443,56859,TCP,85
2025-09-18 11:32:05.596643,192.168.1.130,52.42.23.36,56859,443,TCP,54
2025-09-18 11:32:05.596967,192.168.1.130,52.42.23.36,56859,443,TCP,54
2025-09-18 11:32:05.597323,52.42.23.36,192.168.1.130,443,56859,TCP,54
2025-09-18 11:32:05.782742,52.42.23.36,192.168.1.130,443,56859,TCP,54
2025-09-18 11:32:06.214591,192.168.1.130,103.235.46.102,56861,80,TCP,66
2025-09-18 11:32:06.481654,103.235.46.102,192.168.1.130,80,56861,TCP,66
2025-09-18 11:32:06.481735,192.168.1.130,103.235.46.102,56861,80,TCP,54
2025-09-18 11:32:06.481870,192.168.1.130,103.235.46.102,56861,80,TCP,54
2025-09-18 11:32:06.521103,198.144.121.93,192.168.1.130,,,TLS,93
2025-09-18 11:32:06.521217,198.144.121.93,192.168.1.130,,,TLS,78
2025-09-18 11:32:06.521251,192.168.1.130,198.144.121.93,56803,443,TCP,54
2025-09-18 11:32:06.521438,192.168.1.130,198.144.121.93,56803,443,TCP,54
2025-09-18 11:32:06.563581,198.144.121.93,192.168.1.130,443,56803,TCP,54
2025-09-18 11:32:06.580207,,,443,56764,TCP,98
2025-09-18 11:32:07.272076,192.168.1.130,103.235.46.102,56861,80,TCP,54
2025-09-18 11:32:07.652453,192.168.1.130,103.235.46.102,56852,80,TCP,54
2025-09-18 11:32:08.842425,192.168.1.130,103.235.46.102,56861,80,TCP,54
2025-09-18 11:32:09.713423,192.168.1.130,103.235.46.102,56849,80,TCP,54
2025-09-18 11:32:09.715576,,,,,ICMPV6,86
2025-09-18 11:32:09.715625,,,,,ICMPV6,86
2025-09-18 11:32:09.888577,192.168.1.130,90.84.199.140,,,TLS,1039
2025-09-18 11:32:09.949535,90.84.199.140,192.168.1.130,,,TLS,532
2025-09-18 11:32:09.989461,192.168.1.130,90.84.199.140,56729,443,TCP,54
